ID_Pelicula,ID_Lista
238,207314
238,44313
238,37878903
238,1124407
238,35354217
238,174428
238,28588903
238,5629720
238,17132725
238,17927274
238,181719
238,1742756
238,34760715
238,32682502
238,147899
238,877651
238,1244817
238,11320887
238,7389234
238,24069246
238,1296149
238,121386
238,1705837
238,18915807
238,2562735
238,430744
238,403683
238,206047
238,16444473
238,22947192
238,21454911
238,1114777
238,65241
238,5424189
238,5549835
238,24562056
238,18773030
238,19510690
238,7494176
238,867665
238,26049685
238,1360785
238,1014581
238,1048168
238,28917311
238,7549965
238,27988513
238,347584
238,16260345
238,10925105
238,339226
238,1148468
238,1539459
238,13438527
238,14640492
238,4153035
238,22857749
238,28616743
238,3061039
238,52511405
238,88368
238,3018908
238,32652364
238,4518799
238,2960641
238,2271757
238,198116
238,38591039
238,6588955
238,147911
238,3542033
238,13091703
238,26781252
238,3521078
238,296853
238,638305
238,32703881
238,2178384
238,161452
238,15511273
238,143710
238,2209519
238,12808635
238,595935
238,6829792
238,634729
238,17001342
238,22074617
238,550566
238,1060978
238,6766000
238,2304664
238,7152200
238,5508663
238,415413
238,2297371
238,5927988
238,24576809
238,20284532
238,17061546
238,1895534
238,5872313
238,22741688
238,18649584
238,144592
238,666790
238,3035407
238,6804917
238,33969918
238,2470676
238,17283148
238,27347526
238,6563065
238,880534
238,16492530
238,38884431
238,17116598
238,20978056
238,1302180
238,19331117
